Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-01-04,64.807,65.834,64.807,65.533,975837
2010-01-05,65.593,65.773,63.72,64.263,1107019
2010-01-06,64.505,65.954,64.263,65.834,1972865
2010-01-07,63.419,63.901,62.391,62.875,3946747
2010-01-08,63.661,64.083,62.875,63.117,3269251
2010-01-11,63.962,64.989,63.72,64.748,1625804
2010-01-12,65.11,65.11,63.841,64.445,2029628
2010-01-13,63.962,64.505,63.661,64.083,1365704
2010-01-14,64.626,64.868,63.901,64.083,1086810
2010-01-15,64.324,64.566,63.661,64.445,1944245
2010-01-18,64.384,65.834,64.203,65.834,1958532
2010-01-19,65.653,65.653,64.324,64.868,1931486
2010-01-20,64.566,64.929,64.022,64.083,2246223
2010-01-21,64.203,64.263,62.633,62.995,2879410
2010-01-22,62.21,62.391,61.002,61.788,3870530
2010-01-25,62.088,62.814,61.847,62.21,1860568
2010-01-26,61.547,61.607,59.915,60.399,1703266
2010-01-27,60.337,61.244,58.888,59.221,1823287
2010-01-28,60.307,60.58,58.013,58.013,1561095
2010-01-29,58.498,58.827,56.591,58.585,1859275
2010-02-01,58.224,58.587,57.107,58.587,1170162
2010-02-02,59.795,61.123,59.01,60.399,2003011
2010-02-03,61.123,61.847,59.432,59.584,2753813
2010-02-04,59.403,59.403,55.566,55.566,3666277
2010-02-05,54.419,54.781,52.246,52.246,3837708
2010-02-08,53.694,54.238,51.701,53.151,2302491
2010-02-09,53.996,55.264,53.996,54.358,2380823
2010-02-10,55.566,56.111,54.267,54.358,2362566
2010-02-11,55.476,55.628,53.543,53.603,2103238
2010-02-12,54.962,55.688,54.267,54.599,2250028
2010-02-15,54.992,55.447,54.599,55.385,991176
2010-02-16,55.989,56.533,55.235,55.596,1258197
2010-02-17,57.258,57.621,56.895,57.378,2309531
2010-02-18,57.258,58.224,56.805,57.228,1892181
2010-02-19,56.653,58.132,56.291,57.983,1588128
2010-02-22,59.039,59.07,58.224,58.344,1170120
2010-02-23,58.344,58.647,57.076,57.137,1394283
2010-02-24,56.805,57.258,56.08,56.774,1068858
2010-02-25,56.774,57.892,55.325,55.628,1535932
2010-02-26,57.378,58.224,56.955,58.224,2486741
2010-03-01,59.251,60.337,58.828,59.372,1749218
2010-03-02,59.674,60.459,58.948,60.277,1828073
2010-03-03,60.277,61.486,59.765,61.002,1347418
2010-03-04,60.399,61.847,60.035,60.459,1543525
2010-03-05,61.063,61.727,60.368,61.304,1294390
2010-03-08,61.847,61.907,60.64,61.607,1142241
2010-03-09,61.425,61.486,60.518,61.366,1567398
2010-03-10,61.366,62.21,60.821,62.21,1348652
2010-03-11,61.727,62.088,61.366,61.847,1047545
2010-03-12,62.15,62.391,61.486,61.607,2206222
2010-03-15,61.304,61.366,60.399,60.459,974526
2010-03-16,61.486,62.271,60.7,62.271,1195288
2010-03-17,62.693,63.117,62.029,62.21,3327161
2010-03-18,61.486,62.271,61.123,61.969,907897
2010-03-19,61.969,62.754,61.002,61.607,4158706
2010-03-22,61.123,62.21,61.123,61.667,844875
2010-03-23,61.788,62.693,61.788,62.452,1595482
2010-03-24,62.814,62.814,61.607,61.727,1079491
2010-03-25,62.391,63.117,62.088,63.117,1935058
2010-03-26,63.237,63.72,62.633,63.72,2201498
2010-03-29,63.962,64.807,63.78,63.78,1282260
2010-03-30,64.626,64.929,64.143,64.566,1232538
2010-03-31,63.476,64.809,63.358,64.809,1175156
2010-04-01,64.807,66.137,64.445,66.137,2150158
2010-04-06,66.256,66.921,66.137,66.801,1844726
2010-04-07,66.137,66.559,65.412,66.137,1090737
2010-04-08,65.533,65.773,64.748,64.748,1063552
2010-04-09,65.773,67.344,65.593,67.042,1161500
2010-04-12,67.585,70.062,66.74,70.062,3228173
2010-04-13,69.82,71.15,69.338,70.062,4102479
2010-04-14,70.303,70.968,69.881,70.122,1200842
2010-04-15,70.667,70.667,67.405,69.881,1288633
2010-04-16,69.458,69.76,68.371,68.371,979607
2010-04-19,67.405,68.371,65.773,68.371,1085463
2010-04-20,68.854,70.787,68.613,69.7,1154994
2010-04-21,70.486,70.486,67.405,67.646,1086586
2010-04-22,67.646,68.552,65.895,65.895,1181041
2010-04-23,66.804,67.644,66.199,67.103,904899
2010-04-26,68.854,70.001,68.311,69.7,889477
2010-04-27,68.613,69.941,67.948,67.948,1162972
2010-04-28,66.438,67.646,65.954,66.438,1855235
2010-04-29,66.982,67.767,65.412,67.042,2900588
2010-04-30,67.95,69.097,66.741,66.741,1080927
2010-05-04,66.921,67.163,62.995,63.419,1804013
2010-05-05,63.117,63.298,59.493,60.821,3273291
2010-05-06,60.096,61.969,60.096,60.399,2601922
2010-05-07,58.465,61.244,58.465,59.191,2253722
2010-05-10,62.029,63.539,61.907,63.539,1824971
2010-05-11,62.995,63.298,62.15,62.15,1134426
2010-05-12,62.21,63.419,61.788,63.419,1474299
2010-05-13,63.962,64.384,63.117,63.117,2371847
2010-05-14,62.271,62.693,61.002,61.002,1687001
2010-05-17,59.191,61.184,58.98,60.277,2445096
2010-05-18,61.123,61.184,59.01,59.432,1600258
2010-05-19,58.587,58.587,54.962,56.261,4690146
2010-05-20,56.895,56.955,54.358,54.358,2698764
2010-05-21,54.962,56.443,53.784,56.169,3009012
2010-05-24,57.017,57.53,55.929,56.169,992742
2010-05-25,54.298,54.932,53.996,54.569,1578377
2010-05-26,55.566,57.378,55.447,56.594,2270624
2010-05-27,57.107,58.707,56.743,58.163,1625485
2010-05-28,59.312,59.613,58.617,59.01,2148677
2010-05-31,59.189,59.495,58.859,59.495,500109
2010-06-01,59.01,59.07,57.198,57.621,1491735
2010-06-02,57.228,58.314,56.472,58.163,1582176
2010-06-04,58.404,59.314,56.229,56.472,1236770
2010-06-07,55.445,55.688,54.117,54.541,2661513
2010-06-08,55.688,55.806,53.937,54.416,2381708
2010-06-09,54.964,55.295,54.447,54.964,2473688
2010-06-10,55.052,57.438,54.964,56.834,2453483
2010-06-11,57.832,58.466,56.715,57.619,2649236
2010-06-14,58.466,59.22,58.223,59.039,1561299
2010-06-15,58.822,60.191,58.386,59.725,975306
2010-06-16,60.629,60.691,58.198,58.322,1675895
2010-06-17,58.322,58.945,57.108,57.108,1612323
2010-06-18,57.544,58.915,57.076,58.822,2161883
2010-06-21,59.819,60.098,59.196,59.196,1331035
2010-06-22,59.132,59.507,57.606,57.638,1426539
2010-06-23,57.358,58.198,56.08,56.08,1066125
2010-06-24,56.982,57.076,55.986,56.392,1809082
2010-06-25,56.579,57.358,56.392,57.326,548095
2010-06-28,57.544,57.762,57.202,57.482,360423
2010-06-29,56.703,56.828,55.146,55.518,2529987
2010-06-30,55.581,56.703,55.208,55.208,1337892
2010-07-01,54.958,56.328,54.958,55.146,1281697
2010-07-02,55.956,56.889,55.675,56.703,882490
2010-07-05,57.076,57.202,56.515,57.108,426883
2010-07-06,57.326,58.261,57.264,57.949,1673872
2010-07-07,57.358,57.575,56.392,57.326,1121153
2010-07-08,58.261,58.292,57.326,57.949,1229266
2010-07-09,57.98,58.261,57.264,57.919,612174
2010-07-12,57.919,59.632,57.451,59.009,1455619
2010-07-13,59.009,60.005,58.603,59.381,1025459
2010-07-14,59.975,60.068,58.758,59.196,907952
2010-07-15,59.196,60.035,58.884,59.632,814719
2010-07-16,59.632,60.317,58.322,58.479,902405
2010-07-19,58.042,59.632,57.731,58.696,1235524
